year,month,dom,hour,min,sec,kp,infi,algeo,apgeo,algsm,apgsm,algse,apgse,tag,rig,zen,azi
2018,5,4,18,0,0,1,2,-23.34,242.3,-39.71,331.7,-27.21,319.6,MTWA,1440,0,0
2018,5,4,18,0,0,1,2,-3.144,216.5,-16.45,306.2,1.444,304.5,MTWA,1444,0,0
2018,5,4,18,0,0,1,0,71.64,193.7,59.63,312.1,70.1,355.5,MTWA,1448,0,0
2018,5,4,18,0,0,1,2,-21.34,228,-36.24,315.2,-19.72,307.5,MTWA,1453,0,0
2018,5,4,18,0,0,1,2,-9.072,243.6,-25.55,334.1,-14.7,327,MTWA,1457,0,0
2018,5,4,18,0,0,1,2,-11.13,168.9,-12.34,256.9,8.966,257.1,MTWA,1461,0,0
2018,5,4,18,0,0,1,2,-19.12,294.8,-31.11,31.79,-40.35,17.27,MTWA,1466,0,0
2018,5,4,18,0,0,1,2,-2.484,274.9,-17.97,7.511,-19.44,0.03729,MTWA,1470,0,0
2018,5,4,18,0,0,1,2,-29.42,73.23,-12.7,164.7,-17.44,170.5,MTWA,1474,0,0
2018,5,4,18,0,0,1,2,-47.84,189.5,-52.74,261.5,-31.05,264,MTWA,1478,0,0
2018,5,4,18,0,0,1,2,-6.14,304.6,-16.31,38.68,-28.94,31.1,MTWA,1483,0,0
2018,5,4,18,0,0,1,2,-39.88,51.71,-24.1,146.7,-34.42,157.7,MTWA,1487,0,0
2018,5,4,18,0,0,1,2,1.508,192.2,-6.596,283,14.68,283.4,MTWA,1491,0,0
2018,5,4,18,0,0,1,2,32.63,173.8,28.14,274.7,49.88,276.5,MTWA,1496,0,0
2018,5,4,18,0,0,1,2,34.47,149.3,36.76,252.8,57.17,244.1,MTWA,1500,0,0
2018,5,4,18,0,0,1,2,-15.83,206.8,-26.9,293.3,-6.612,290.8,MTWA,1504,0,0
2018,5,4,18,0,0,1,2,-0.9621,181.4,-6.107,271.9,15.73,271.9,MTWA,1508,0,0
2018,5,4,18,0,0,1,2,-29.55,130.6,-19.75,215.8,-6.23,219.8,MTWA,1513,0,0
2018,5,4,18,0,0,1,2,-7.051,359.4,-2.133,92.2,-23.96,92.4,MTWA,1517,0,0
2018,5,4,18,0,0,1,0,-24.18,281,-38.63,17.69,-41.9,359.1,MTWA,1521,0,0
